Name,,Quadrant,Carnegie Classification: size and setting,Total enrollment,Undergraduate enrollment,Graduate enrollment,Endowment per full-time equivalent student,Dorm capacity
Emmanuel College,B,"More resourced; more residential","Four-year; small; highly residential",2209,2089,120,"65386",1241
Bentley University,B,"More resourced; more residential","Four-year; medium; highly residential",5460,4253,1207,"58398",4000
Hampshire College,B,"More resourced; more residential","Four-year; small; highly residential",1191,1191,0,"47598",1182
Assumption College,B,"More resourced; more residential","Four-year; small; highly residential",2428,2036,392,"43690",1879
Curry College,B,"More resourced; more residential","Four-year; small; highly residential",2580,2358,222,"39127",1573
Dean College,B,"More resourced; more residential","Four-year; small; highly residential",1320,1320,0,"37744",1001
Emerson College,B,"More resourced; more residential","Four-year; medium; highly residential",4573,3855,718,"36674",1953
Northeastern University,B,"More resourced; more residential","Four-year; large; highly residential",21627,13909,7718,"34253",9466
Simmons University,B,"More resourced; more residential","Four-year; medium; highly residential",6082,1809,4273,"30910",1111
Gordon College,B,"More resourced; more residential","Four-year; small; highly residential",1955,1618,337,"30202",1429
Eastern Nazarene College,B,"More resourced; more residential","Four-year; very small; highly residential",848,660,188,"26100",594
MGH Institute of Health Professions,C,"Less resourced; less residential","Four-year; small; primarily nonresidential",1250,215,1035,"24407",0
Boston Architectural College,C,"Less resourced; less residential","Four-year; very small; primarily nonresidential",663,337,326,"18975",0
Bay Path University,C,"Less resourced; less residential","Four-year; small; primarily nonresidential",3444,1923,1521,"16390",411
Hebrew College,C,"Less resourced; less residential","Four-year; very small; primarily nonresidential",182,50,132,"15303",0
Framingham State University,C,"Less resourced; less residential","Four-year; medium; primarily residential",5565,3937,1628,"8065",1978
University of Massachusetts-Boston,C,"Less resourced; less residential","Four-year; large; primarily nonresidential",16164,12714,3450,"6490",0
College of Our Lady of the Elms,C,"Less resourced; less residential","Four-year; small; primarily residential",1531,1151,380,"6484",405
University of Massachusetts-Lowell,C,"Less resourced; less residential","Four-year; large; primarily residential",18242,14004,4238,"6254",4916
Laboure College,C,"Less resourced; less residential","Four-year; very small; primarily nonresidential",845,845,0,"5608",0
Bridgewater State University,C,"Less resourced; less residential","Four-year; medium; primarily residential",10990,9504,1486,"5372",3295
Anna Maria College,C,"Less resourced; less residential","Four-year; small; primarily residential",1461,1134,327,"4301",711
Benjamin Franklin Institute of Technology,C,"Less resourced; less residential","Four-year; very small; primarily nonresidential",630,630,0,"3333",24
Salem State University,C,"Less resourced; less residential","Four-year; medium; primarily residential",8338,6811,1527,"3221",2282
Worcester State University,C,"Less resourced; less residential","Four-year; medium; primarily residential",6217,5380,837,"3165",1577
Fitchburg State University,C,"Less resourced; less residential","Four-year; medium; primarily residential",7199,4163,3036,"2791",1732
William James College,C,"Less resourced; less residential","Four-year; very small; primarily nonresidential",765,14,751,"1171",0
Newbury College,C,"Less resourced; less residential","Four-year; very small; primarily residential",636,636,0,858255
Hult International Business School,C,"Less resourced; less residential","Four-year; small; primarily residential",3065,574,2491,0155
New England College of Business and Finance,C,"Less resourced; less residential","Four-year; very small; primarily nonresidential",1237,1053,184,00
Bay State College,C,"Less resourced; less residential","Four-year; very small; primarily nonresidential",700,700,0,065
Fisher College,C,"Less resourced; less residential","Four-year; small; primarily nonresidential",1662,1626,36,0344
Springfield College-School of Professional and Continuing Studies,C,"Less resourced; less residential","Four-year; very small; primarily nonresidential",904,643,261,00
MCPHS University,D,"More resourced; less residential","Four-year; medium; primarily residential",7064,3966,3098,"131055",1383
Worcester Polytechnic Institute,D,"More resourced; less residential","Four-year; medium; primarily residential",6874,4668,2206,"84810",2117
Berklee College of Music,D,"More resourced; less residential","Four-year; medium; primarily nonresidential",6963,6400,563,"53358",1449
Lesley University,D,"More resourced; less residential","Four-year; medium; primarily residential",4838,2208,2630,"52628",896
Cambridge College,D,"More resourced; less residential","Four-year; small; primarily nonresidential",2234,730,1504,"39640",0
Suffolk University,D,"More resourced; less residential","Four-year; medium; primarily residential",7186,5044,2142,"34598",1305
Longy School of Music of Bard College,D,"More resourced; less residential","Four-year; very small; primarily nonresidential",244,36,208,"32941",0
